Corps de métier;Sous-métier (dépannage);Code pack;Nom du pack;Catégorie;Nb lignes
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-006;Plancher chauffant hydraulique;INSTALLATION;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-009;Ballon tampon chauffage;INSTALLATION;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-010;Radiateur design / fonte;INSTALLATION;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-011;Chaudière collective gaz (>70 kW);INSTALLATION;20
Chauffage – Chaudières – Radiateurs – Réseaux;;CHAU-CHAU-PACK-025;Chaudière gaz condensation double service;INSTALLATION;21
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-001;PAC Air/Eau Monobloc;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-002;PAC Air/Eau Bibloc;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-003;PAC Air/Air Mono-split;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-004;PAC Air/Air Multi-split;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-005;PAC Hybride (PAC + Chaudière);CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-007;Ballon thermodynamique 200 L;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-008;Ballon thermodynamique 270 L;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-009;Ballon thermo sur air extrait;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-010;CESI – Chauffe-eau solaire individuel;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-011;SSC – Système solaire combiné;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-014;PAC Air/Air gainable;CHANGEMENT;21
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-015;Ballon thermodynamique 100 L (air ambiant);CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-016;Ballon thermodynamique 150 L (air ambiant);CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-017;Ballon thermodynamique gainable sur groupe extérieur;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-018;Ballon thermodynamique (air ambiant – générique);CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-020;Consommables & accessoires ballons thermodynamiques;CHANGEMENT;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-006;PAC Piscine;INSTALLATION;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-012;Réseaux solaires thermiques;INSTALLATION;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-013;Ajout unité intérieure PAC multi-split;INSTALLATION;20
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-019;Consommables & accessoires PAC;INSTALLATION;21
Chauffage ENR – PAC – Solaire thermique;;ENR-PAC-PACK-021;Consommables & accessoires solaire thermique;INSTALLATION;21
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-001;Climatisation mono-split mural;CHANGEMENT;21
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-002;Climatisation multi-split 2–3 UI;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-003;Climatisation multi-split 4–5 UI;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-005;Climatisation gainable;CHANGEMENT;21
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-006;Remplacement groupe extérieur clim;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-007;VMC simple flux maison;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-008;VMC hygroréglable;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-009;VMC double flux;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-011;CTA – Centrale de Traitement d'Air (petit tertiaire);CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-012;CTA double flux + réseaux;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-013;Extraction parking / CO (remplacement ventilateurs);CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-014;Désenfumage naturel / mécanique;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-015;Réseaux gaines spiralées tertiaire;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-016;Extraction cuisine professionnelle;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-017;Système VRV / VRF (2–6 étages);CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-018;Ajout unité intérieure VRV / VRF;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-020;Renouvellement VMC immeuble;CHANGEMENT;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-019;Entretien VMC collectif;ENTRETIEN;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-004;Ajout unité intérieure sur multi-split;INSTALLATION;20
Climatisation – Ventilation – VMC;;CLIM-VMC-PACK-010;Extraction mécanique local / sanitaire;INSTALLATION;20
Couverture – Toiture – Zinguerie;;COUV-PACK-001;Réfection complète toiture tuiles mécaniques;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-002;Réfection toiture tuiles plates;CHANGEMENT;21
Couverture – Toiture – Zinguerie;;COUV-PACK-003;Réfection toiture ardoises naturelles;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-004;Toiture bac acier isolé ou non isolé;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-005;Réfection toiture tuile canal / romane;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-006;Pose fenêtre de toit Velux;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-007;Zinguerie complète zinc naturel;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-008;Chéneau encaissé et noue zinc;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-009;Gouttières zinc / PVC / aluminium;CHANGEMENT;21
Couverture – Toiture – Zinguerie;;COUV-PACK-010;Étanchéité bitume toiture terrasse;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-011;Étanchéité EPDM;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-012;Étanchéité PVC/TPO;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-013;Toiture zinc à joint debout;CHANGEMENT;21
Couverture – Toiture – Zinguerie;;COUV-PACK-014;Toiture cuivre à joint debout;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-015;Toiture tuile plate prestige;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-016;Bardage toiture zinc tôle plane;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-017;Toiture tuile plate 13/m²;CHANGEMENT;21
Couverture – Toiture – Zinguerie;;COUV-PACK-018;Toiture tuile plate 10/m²;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-019;Tuile plate 64/m² – Très couvrante;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-020;Toiture tuiles ancienne récupération;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-021;Toiture tuiles losange;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-022;Surélévation + reprise complète toiture;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-026;Gouttières zinc;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-027;Gouttières PVC;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-028;Gouttières aluminium laqué;CHANGEMENT;19
Couverture – Toiture – Zinguerie;;COUV-PACK-029;Gouttières aluminium boîte;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-030;Descente EP zinc;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-031;Descente EP PVC;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-032;Descente EP aluminium;CHANGEMENT;21
Couverture – Toiture – Zinguerie;;COUV-PACK-033;Boîtes de récupération EP;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-034;Noue zinc / aluminium;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-035;Arêtier toiture;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-036;Rives toiture (tuiles / zinc / ardoise);CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-037;Solins zinc / alu / plomb;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-038;Chéneau encaissé;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-039;Protections EP (crapaudines, grilles anti-feuilles);CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-040;Chatières, douilles, lanternes;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-041;Remplacement fenêtre de toit (Velux);CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-042;Réfection complète sous-toiture;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-043;Réfection noue chien-assis;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-045;Toitures spéciales (shingle, bac acier, fibrociment, chaume);CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-046;Isolation toiture terrasse polyuréthane (RE 2020);CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-047;Isolation toiture sarking (multi-épaisseurs);CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-048;Toiture bardeaux bitume (shingle);CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-049;Toiture fibrociment non amiante;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-050;Remplacement toiture fibrociment amiante → non amiante;CHANGEMENT;20
Couverture – Toiture – Zinguerie;;COUV-PACK-044;Abattement cheminée (1m à 2,5m);DEMOLITION;20
Couverture – Toiture – Zinguerie;;COUV-PACK-023;Nettoyage toiture + antimousse;ENTRETIEN;20
Couverture – Toiture – Zinguerie;;COUV-PACK-024;Nettoyage + antimousse + hydrofuge incolore;ENTRETIEN;20
Couverture – Toiture – Zinguerie;;COUV-PACK-025;Nettoyage + antimousse + hydrofuge coloré;ENTRETIEN;20
Cuisine – Agencement sur mesure;;CUIS-PACK-002;Pose cuisine linéaire simple;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-003;Pose cuisine en L;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-004;Pose cuisine en U;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-005;Cuisine sur-mesure haut de gamme;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-006;Plan de travail stratifié;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-007;Plan de travail quartz / granit;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-008;Plan de travail compact HPL;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-009;Encastrés électroménagers;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-010;Hotte murale / îlot;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-011;Crédence cuisine;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-012;Faïence cuisine;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-013;Modification plomberie cuisine;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-014;Éclairage cuisine complet;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-015;Pose îlot central;CHANGEMENT;21
Cuisine – Agencement sur mesure;;CUIS-PACK-016;Rénovation légère cuisine;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-018;Évier + robinet;CHANGEMENT;21
Cuisine – Agencement sur mesure;;CUIS-PACK-019;Colonne four + MO;CHANGEMENT;21
Cuisine – Agencement sur mesure;;CUIS-PACK-020;Cuisine PMR;CHANGEMENT;20
Cuisine – Agencement sur mesure;;CUIS-PACK-001;Dépose complète cuisine existante;DEMOLITION;21
Cuisine – Agencement sur mesure;;CUIS-PACK-017;Réglages cuisine;FINITIONS;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-001;Dépose complète cuisine;DEMOLITION;21
Démolition – Curage – Dépose;;DEM-CUR-PACK-002;Dépose salle de bain;DEMOLITION;21
Démolition – Curage – Dépose;;DEM-CUR-PACK-003;Dépose cloison intérieure;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-004;Ouverture mur porteur + IPN (pose seule);DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-005;Dépose carrelage existant;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-006;Dépose revêtement de sol;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-007;Dépose cheminée ancienne;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-008;Dépose menuiserie extérieure;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-009;Curage complet intérieur;DEMOLITION;21
Démolition – Curage – Dépose;;DEM-CUR-PACK-010;Dépose couverture existante;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-011;Démolition maison individuelle;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-012;Démolition garage ou dépendance;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-013;Démolition dalle + semelles;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-014;Démolition mur extérieur;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-015;Démolition piscine béton;DEMOLITION;20
Démolition – Curage – Dépose;;DEM-CUR-PACK-016;Démolition + remblai compacté;DEMOLITION;20
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-001;Débouchage évier cuisine manuel;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-002;Débouchage évier cuisine machine;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-003;Débouchage canalisation salle de bain;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-004;Débouchage receveur manuel;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-005;Débouchage receveur machine;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-006;Débouchage baignoire;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-007;Débouchage WC manuel;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-008;Débouchage WC machine;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-009;Extraction objet WC;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-010;Débouchage colonne cuisine;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-011;Débouchage colonne secondaire;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-012;Débouchage réseau général;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-013;Recherche odeur égout;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-014;Réparation fuite canalisation PVC;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-015;Reprise étanchéité siphon;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-016;Inspection caméra domestique;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-017;Débouchage hydrocureur léger;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-018;Obstruction réseau évacuation;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-019;Vérification ventilation évacuation;;8
Dépannage & Interventions rapides;Canalisation / Débouchage;DEP-CAN-PACK-020;Diagnostic réseau canalisation complet;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-001;Panne générale chaudière sans chauffage;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-002;Panne d'eau chaude sanitaire seule;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-003;Perte de pression circuit chauffage;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-004;Vase d'expansion défaillant;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-005;Fuite sur corps de chauffe ou organes visibles;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-006;Panne d'allumage chaudière gaz;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-007;Mise en sécurité répétée chaudière;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-008;Bruit anormal chaudière ou brûleur;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-009;Radiateurs froids ou partiellement chauffés;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-010;Circulateur chauffage bloqué ou HS;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-011;Vannes thermostatiques bloquées;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-012;Vanne 3 voies bloquée ou défaillante;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-013;Problème de régulation ou thermostat;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-014;Ballon d'eau chaude couplé chaudière – panne;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-015;Échangeur à plaques entartré ou bouché;;8
Dépannage & Interventions rapides;Chauffage / Chaudière / PAC;DEP-CHA-PACK-016;PAC Air/Eau en défaut – chauffage;;8
